,age,workclass,education-num,marital-status,occupation,sex,capital-gain,capital-loss,hours-per-week,native-country,wage,capital-gain-bool,target,education_bachelors,education_below-hs,education_doc_prof,education_hs-grad,education_masters
0,39, State-gov,13, Never-married, Adm-clerical,1,2174,0,40, United-States, <=50K,1,0,1,0,0,0,0
1,50, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial,1,0,0,13, United-States, <=50K,0,0,1,0,0,0,0
2,38, Private,9, Divorced, Handlers-cleaners,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
3,53, Private,7, Married-civ-spouse, Handlers-cleaners,1,0,0,40, United-States, <=50K,0,0,0,1,0,0,0
4,28, Private,13, Married-civ-spouse, Prof-specialty,0,0,0,40, Cuba, <=50K,0,0,1,0,0,0,0
5,37, Private,14, Married-civ-spouse, Exec-managerial,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,1
6,49, Private,5, Married-spouse-absent, Other-service,0,0,0,16, Jamaica, <=50K,0,0,0,1,0,0,0
7,52, Self-emp-not-inc,9, Married-civ-spouse, Exec-managerial,1,0,0,45, United-States, >50K,0,1,0,0,0,1,0
8,31, Private,14, Never-married, Prof-specialty,0,14084,0,50, United-States, >50K,1,1,0,0,0,0,1
9,42, Private,13, Married-civ-spouse, Exec-managerial,1,5178,0,40, United-States, >50K,1,1,1,0,0,0,0
10,37, Private,10, Married-civ-spouse, Exec-managerial,1,0,0,80, United-States, >50K,0,1,0,0,0,0,0
11,30, State-gov,13, Married-civ-spouse, Prof-specialty,1,0,0,40, India, >50K,0,1,1,0,0,0,0
12,23, Private,13, Never-married, Adm-clerical,0,0,0,30, United-States, <=50K,0,0,1,0,0,0,0
13,32, Private,12, Never-married, Sales,1,0,0,50, United-States, <=50K,0,0,0,0,0,0,0
14,40, Private,11, Married-civ-spouse, Craft-repair,1,0,0,40, ?, >50K,0,1,0,0,0,0,0
15,34, Private,4, Married-civ-spouse, Transport-moving,1,0,0,45, Mexico, <=50K,0,0,0,1,0,0,0
16,25, Self-emp-not-inc,9, Never-married, Farming-fishing,1,0,0,35, United-States, <=50K,0,0,0,0,0,1,0
17,32, Private,9, Never-married, Machine-op-inspct,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
18,38, Private,7, Married-civ-spouse, Sales,1,0,0,50, United-States, <=50K,0,0,0,1,0,0,0
19,43, Self-emp-not-inc,14, Divorced, Exec-managerial,0,0,0,45, United-States, >50K,0,1,0,0,0,0,1
20,40, Private,16, Married-civ-spouse, Prof-specialty,1,0,0,60, United-States, >50K,0,1,0,0,1,0,0
21,54, Private,9, Separated, Other-service,0,0,0,20, United-States, <=50K,0,0,0,0,0,1,0
22,35, Federal-gov,5, Married-civ-spouse, Farming-fishing,1,0,0,40, United-States, <=50K,0,0,0,1,0,0,0
23,43, Private,7, Married-civ-spouse, Transport-moving,1,0,2042,40, United-States, <=50K,0,0,0,1,0,0,0
24,59, Private,9, Divorced, Tech-support,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
25,56, Local-gov,13, Married-civ-spouse, Tech-support,1,0,0,40, United-States, >50K,0,1,1,0,0,0,0
26,19, Private,9, Never-married, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
27,54, ?,10, Married-civ-spouse, ?,1,0,0,60, South, >50K,0,1,0,0,0,0,0
28,39, Private,9, Divorced, Exec-managerial,1,0,0,80, United-States, <=50K,0,0,0,0,0,1,0
29,49, Private,9, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
30,23, Local-gov,12, Never-married, Protective-serv,1,0,0,52, United-States, <=50K,0,0,0,0,0,0,0
31,20, Private,10, Never-married, Sales,1,0,0,44, United-States, <=50K,0,0,0,0,0,0,0
32,45, Private,13, Divorced, Exec-managerial,1,0,1408,40, United-States, <=50K,0,0,1,0,0,0,0
33,30, Federal-gov,10, Married-civ-spouse, Adm-clerical,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
34,22, State-gov,10, Married-civ-spouse, Other-service,1,0,0,15, United-States, <=50K,0,0,0,0,0,0,0
35,48, Private,7, Never-married, Machine-op-inspct,1,0,0,40, Puerto-Rico, <=50K,0,0,0,1,0,0,0
36,21, Private,10, Never-married, Machine-op-inspct,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
37,19, Private,9, Married-AF-spouse, Adm-clerical,0,0,0,25, United-States, <=50K,0,0,0,0,0,1,0
38,31, Private,10, Married-civ-spouse, Sales,1,0,0,38, ?, >50K,0,1,0,0,0,0,0
39,48, Self-emp-not-inc,12, Married-civ-spouse, Prof-specialty,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
40,31, Private,5, Married-civ-spouse, Machine-op-inspct,1,0,0,43, United-States, <=50K,0,0,0,1,0,0,0
41,53, Self-emp-not-inc,13, Married-civ-spouse, Prof-specialty,1,0,0,40, United-States, <=50K,0,0,1,0,0,0,0
42,24, Private,13, Married-civ-spouse, Tech-support,1,0,0,50, United-States, <=50K,0,0,1,0,0,0,0
43,49, Private,9, Separated, Adm-clerical,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
44,25, Private,9, Never-married, Handlers-cleaners,1,0,0,35, United-States, <=50K,0,0,0,0,0,1,0
45,57, Federal-gov,13, Married-civ-spouse, Prof-specialty,1,0,0,40, United-States, >50K,0,1,1,0,0,0,0
46,53, Private,9, Married-civ-spouse, Machine-op-inspct,1,0,0,38, United-States, <=50K,0,0,0,0,0,1,0
47,44, Private,14, Divorced, Exec-managerial,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,1
48,41, State-gov,11, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
49,29, Private,11, Never-married, Prof-specialty,1,0,0,43, United-States, <=50K,0,0,0,0,0,0,0
50,25, Private,10, Married-civ-spouse, Exec-managerial,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
51,18, Private,9, Never-married, Other-service,0,0,0,30, ?, <=50K,0,0,0,0,0,1,0
52,47, Private,15, Married-civ-spouse, Prof-specialty,0,0,1902,60, Honduras, >50K,0,1,0,0,1,0,0
53,50, Federal-gov,13, Divorced, Exec-managerial,1,0,0,55, United-States, >50K,0,1,1,0,0,0,0
54,47, Self-emp-inc,9, Divorced, Exec-managerial,1,0,0,60, United-States, <=50K,0,0,0,0,0,1,0
55,43, Private,10, Married-civ-spouse, Tech-support,1,0,0,40, United-States, >50K,0,1,0,0,0,0,0
56,46, Private,3, Married-civ-spouse, Machine-op-inspct,1,0,0,40, Mexico, <=50K,0,0,0,1,0,0,0
57,35, Private,11, Married-civ-spouse, Other-service,1,0,0,40, Puerto-Rico, <=50K,0,0,0,0,0,0,0
58,41, Private,9, Married-civ-spouse, Adm-clerical,1,0,0,48, United-States, <=50K,0,0,0,0,0,1,0
59,30, Private,9, Married-civ-spouse, Machine-op-inspct,1,5013,0,40, United-States, <=50K,1,0,0,0,0,1,0
60,30, Private,13, Married-civ-spouse, Sales,1,2407,0,40, United-States, <=50K,1,0,1,0,0,0,0
61,32, ?,4, Married-spouse-absent, ?,1,0,0,40, ?, <=50K,0,0,0,1,0,0,0
62,48, Private,9, Married-civ-spouse, Transport-moving,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
63,42, Private,16, Married-civ-spouse, Prof-specialty,1,0,0,45, United-States, >50K,0,1,0,0,1,0,0
64,29, Private,10, Divorced, Tech-support,1,0,0,58, United-States, <=50K,0,0,0,0,0,0,0
65,36, Private,9, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
66,28, Private,10, Divorced, Adm-clerical,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
67,53, Private,9, Married-civ-spouse, Adm-clerical,0,0,0,40, United-States, >50K,0,1,0,0,0,1,0
68,49, Self-emp-inc,10, Married-civ-spouse, Exec-managerial,1,0,0,50, United-States, >50K,0,1,0,0,0,0,0
69,25, ?,10, Never-married, ?,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
70,19, Private,10, Never-married, Prof-specialty,1,0,0,32, United-States, <=50K,0,0,0,0,0,0,0
71,31, Private,13, Separated, Sales,0,0,0,40, United-States, <=50K,0,0,1,0,0,0,0
72,29, Self-emp-not-inc,13, Married-civ-spouse, Sales,1,0,0,70, United-States, >50K,0,1,1,0,0,0,0
73,23, Private,10, Never-married, Machine-op-inspct,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
74,79, Private,10, Married-civ-spouse, Prof-specialty,1,0,0,20, United-States, <=50K,0,0,0,0,0,0,0
75,27, Private,9, Never-married, Other-service,1,0,0,40, Mexico, <=50K,0,0,0,0,0,1,0
76,40, Private,12, Married-civ-spouse, Adm-clerical,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
77,67, ?,6, Married-civ-spouse, ?,1,0,0,2, United-States, <=50K,0,0,0,1,0,0,0
78,18, Private,7, Never-married, Other-service,0,0,0,22, United-States, <=50K,0,0,0,1,0,0,0
79,31, Local-gov,4, Married-civ-spouse, Farming-fishing,1,0,0,40, United-States, <=50K,0,0,0,1,0,0,0
80,18, Private,9, Never-married, Sales,1,0,0,30, United-States, <=50K,0,0,0,0,0,1,0
81,52, Private,13, Married-civ-spouse, Other-service,1,0,0,40, Cuba, <=50K,0,0,1,0,0,0,0
82,46, Private,9, Married-civ-spouse, Other-service,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
83,59, Private,9, Married-civ-spouse, Sales,1,0,0,48, United-States, <=50K,0,0,0,0,0,1,0
84,44, Private,9, Divorced, Craft-repair,0,14344,0,40, United-States, >50K,1,1,0,0,0,1,0
85,53, Private,9, Divorced, Sales,0,0,0,35, United-States, <=50K,0,0,0,0,0,1,0
86,49, Local-gov,9, Married-civ-spouse, Protective-serv,1,0,0,40, United-States, >50K,0,1,0,0,0,1,0
87,33, Private,14, Married-civ-spouse, Prof-specialty,1,0,0,50, United-States, <=50K,0,0,0,0,0,0,1
88,30, Private,5, Never-married, Sales,1,0,0,40, United-States, <=50K,0,0,0,1,0,0,0
89,43, Federal-gov,16, Never-married, Prof-specialty,0,0,0,50, United-States, >50K,0,1,0,0,1,0,0
90,57, Private,11, Married-civ-spouse, Prof-specialty,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
91,37, Private,10, Divorced, Craft-repair,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
92,28, Private,10, Divorced, Machine-op-inspct,0,0,0,25, United-States, <=50K,0,0,0,0,0,0,0
93,30, Private,9, Married-civ-spouse, Sales,0,0,1573,35, ?, <=50K,0,0,0,0,0,1,0
94,34, Local-gov,13, Married-civ-spouse, Protective-serv,1,0,0,40, United-States, >50K,0,1,1,0,0,0,0
95,29, Local-gov,10, Never-married, Handlers-cleaners,1,0,0,50, United-States, <=50K,0,0,0,0,0,0,0
96,48, Self-emp-not-inc,16, Married-civ-spouse, Prof-specialty,1,0,1902,60, United-States, >50K,0,1,0,0,1,0,0
97,37, Private,10, Married-civ-spouse, Sales,1,0,0,48, United-States, >50K,0,1,0,0,0,0,0
98,48, Private,12, Divorced, Exec-managerial,0,0,0,40, England, <=50K,0,0,0,0,0,0,0
99,32, Federal-gov,9, Never-married, Other-service,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
